date,clockin,clockout,activity,description
2023-09-01,08:30 am,05:44 pm,Orientation,New Employee Orientation
2023-09-04,08:25 am,05:53 pm,Analisis,Analisis Dokumen Client
2023-09-05,08:26 am,07:28 pm,Analisis,Analisis Dokumen Client
2023-09-06,08:24 am,05:30 pm,Analisis,Analisis Dokumen Client
2023-09-07,08:26 am,07:31 pm,Analisis,Analisis Dokumen Client
2023-09-08,08:08 am,05:37 pm,Analisis,Analisis Dokumen Client
2023-09-11,08:25 am,05:55 pm,Interview,Interview Client
2023-09-12,08:21 am,05:32 pm,Dokumentasi,Dokumentasi Interview Client dan riset internal
2023-09-13,08:30 am,05:30 pm,Interview,Interview Client
2023-09-14,08:17 am,05:30 pm,Riset,Riset Internal untuk Engagement
2023-09-15,08:14 am,05:30 pm,Riset,Riset Internal untuk Engagement
2023-09-18,08:17 am,05:33 pm,Riset,Riset Internal untuk Engagement
2023-09-19,08:23 am,05:30 pm,Interview dan Dokumentasi,Interview Client dan Dokumentasi Interview
2023-09-20,08:23 am,05:34 pm,Interview dan Dokumentasi,Interview Client dan Dokumentasi Interview
2023-09-21,08:23 am,05:39 pm,Interview dan Dokumentasi,Interview Client dan Dokumentasi Interview
2023-09-22,08:25 am,05:41 pm,Interview dan Dokumentasi,Interview Client dan Dokumentasi Interview
2023-09-25,08:18 am,09:13 pm,Interview dan Dokumentasi,Interview Client dan Dokumentasi Interview
2023-09-26,08:26 am,05:37 pm,Interview dan Dokumentasi,Interview Client dan Dokumentasi Interview
2023-09-27,08:24 am,05:44 pm,Riset,Riset Internal untuk Engagement
2023-09-29,08:10 am,05:42 pm,Riset,Riset Internal untuk Engagement